City,Hospital_ID,Hospital_Name,Distance_km,Total_Doctors,Total_Beds,Available_Beds,Contact_Number,Email,Location
Chandigarh,CHA_HOSP_001,Chandigarh City Hospital 1,11.07,29,128,44,+91-7664120158,chandigarh_city_hospital_1@health.org,Chandigarh Sector-58
Chandigarh,CHA_HOSP_002,Chandigarh City Hospital 2,1.74,85,186,6,+91-7481198823,chandigarh_city_hospital_2@health.org,Chandigarh Sector-13
Chandigarh,CHA_HOSP_003,Chandigarh City Hospital 3,19.38,48,153,60,+91-7446060081,chandigarh_city_hospital_3@health.org,Chandigarh Sector-31
Chandigarh,CHA_HOSP_004,Chandigarh City Hospital 4,7.84,93,281,183,+91-7891761675,chandigarh_city_hospital_4@health.org,Chandigarh Sector-52
Chandigarh,CHA_HOSP_005,Chandigarh City Hospital 5,17.83,82,202,80,+91-8358809440,chandigarh_city_hospital_5@health.org,Chandigarh Sector-49
Chandigarh,CHA_HOSP_006,Chandigarh City Hospital 6,13.31,82,198,143,+91-9599321704,chandigarh_city_hospital_6@health.org,Chandigarh Sector-3
Chandigarh,CHA_HOSP_007,Chandigarh City Hospital 7,4.91,62,292,60,+91-7337121676,chandigarh_city_hospital_7@health.org,Chandigarh Sector-21
Chandigarh,CHA_HOSP_008,Chandigarh City Hospital 8,20.46,33,140,48,+91-8828954736,chandigarh_city_hospital_8@health.org,Chandigarh Sector-54
Chandigarh,CHA_HOSP_009,Chandigarh City Hospital 9,9.99,65,216,34,+91-8681914277,chandigarh_city_hospital_9@health.org,Chandigarh Sector-49
Chandigarh,CHA_HOSP_010,Chandigarh City Hospital 10,10.54,75,28,16,+91-8338916745,chandigarh_city_hospital_10@health.org,Chandigarh Sector-41
Ludhiana,LUD_HOSP_001,Ludhiana City Hospital 1,6.9,48,230,59,+91-8873621866,ludhiana_city_hospital_1@health.org,Ludhiana Sector-7
Ludhiana,LUD_HOSP_002,Ludhiana City Hospital 2,7.13,98,69,12,+91-8238058688,ludhiana_city_hospital_2@health.org,Ludhiana Sector-26
Ludhiana,LUD_HOSP_003,Ludhiana City Hospital 3,9.4,83,256,57,+91-7198753566,ludhiana_city_hospital_3@health.org,Ludhiana Sector-2
Ludhiana,LUD_HOSP_004,Ludhiana City Hospital 4,21.38,10,89,24,+91-7536623966,ludhiana_city_hospital_4@health.org,Ludhiana Sector-13
Ludhiana,LUD_HOSP_005,Ludhiana City Hospital 5,6.82,98,113,80,+91-7929074573,ludhiana_city_hospital_5@health.org,Ludhiana Sector-14
Ludhiana,LUD_HOSP_006,Ludhiana City Hospital 6,4.69,87,197,147,+91-8689065437,ludhiana_city_hospital_6@health.org,Ludhiana Sector-52
Ludhiana,LUD_HOSP_007,Ludhiana City Hospital 7,9.12,11,152,139,+91-8769787007,ludhiana_city_hospital_7@health.org,Ludhiana Sector-24
Ludhiana,LUD_HOSP_008,Ludhiana City Hospital 8,7.3,19,254,14,+91-8722832992,ludhiana_city_hospital_8@health.org,Ludhiana Sector-25
Ludhiana,LUD_HOSP_009,Ludhiana City Hospital 9,22.7,78,166,46,+91-7358330012,ludhiana_city_hospital_9@health.org,Ludhiana Sector-59
Ludhiana,LUD_HOSP_010,Ludhiana City Hospital 10,3.34,89,144,35,+91-7146199269,ludhiana_city_hospital_10@health.org,Ludhiana Sector-39
