City,Hospital_ID,Hospital_Name,Distance_km,Total_Doctors,Total_Beds,Available_Beds,Contact_Number,Email,Location,Latitude,Longitude
Chandigarh,CHA_HOSP_001,Chandigarh City Hospital 1,11.07,29,128,44,+91-7664120158,chandigarh_city_hospital_1@health.org,Chandigarh Sector-58,30.731866309874725,76.76883999709345
Chandigarh,CHA_HOSP_002,Chandigarh City Hospital 2,1.74,85,186,6,+91-7481198823,chandigarh_city_hospital_2@health.org,Chandigarh Sector-13,30.73573327761192,76.7949797644274
Chandigarh,CHA_HOSP_003,Chandigarh City Hospital 3,19.38,48,153,60,+91-7446060081,chandigarh_city_hospital_3@health.org,Chandigarh Sector-31,30.749279592898134,76.76789197920856
Chandigarh,CHA_HOSP_004,Chandigarh City Hospital 4,7.84,93,281,183,+91-7891761675,chandigarh_city_hospital_4@health.org,Chandigarh Sector-52,30.747226988967544,76.76016821637377
Chandigarh,CHA_HOSP_005,Chandigarh City Hospital 5,17.83,82,202,80,+91-8358809440,chandigarh_city_hospital_5@health.org,Chandigarh Sector-49,30.738898347214242,76.79401080160063
Chandigarh,CHA_HOSP_006,Chandigarh City Hospital 6,13.31,82,198,143,+91-9599321704,chandigarh_city_hospital_6@health.org,Chandigarh Sector-3,30.734948235674402,76.76314203181046
Chandigarh,CHA_HOSP_007,Chandigarh City Hospital 7,4.91,62,292,60,+91-7337121676,chandigarh_city_hospital_7@health.org,Chandigarh Sector-21,30.714282620179688,76.78962244573583
Chandigarh,CHA_HOSP_008,Chandigarh City Hospital 8,20.46,33,140,48,+91-8828954736,chandigarh_city_hospital_8@health.org,Chandigarh Sector-54,30.74299497767687,76.7982837062912
Chandigarh,CHA_HOSP_009,Chandigarh City Hospital 9,9.99,65,216,34,+91-8681914277,chandigarh_city_hospital_9@health.org,Chandigarh Sector-49,30.715911221550467,76.78789089070052
Chandigarh,CHA_HOSP_010,Chandigarh City Hospital 10,10.54,75,28,16,+91-8338916745,chandigarh_city_hospital_10@health.org,Chandigarh Sector-41,30.747562703717833,76.7736979419942
Ludhiana,LUD_HOSP_001,Ludhiana City Hospital 1,6.9,48,230,59,+91-8873621866,ludhiana_city_hospital_1@health.org,Ludhiana Sector-7,30.90831029680372,75.83899477766116
Ludhiana,LUD_HOSP_002,Ludhiana City Hospital 2,7.13,98,69,12,+91-8238058688,ludhiana_city_hospital_2@health.org,Ludhiana Sector-26,30.887789415743487,75.84239752833409
Ludhiana,LUD_HOSP_003,Ludhiana City Hospital 3,9.4,83,256,57,+91-7198753566,ludhiana_city_hospital_3@health.org,Ludhiana Sector-2,30.91489225413718,75.85687325910828
Ludhiana,LUD_HOSP_004,Ludhiana City Hospital 4,21.38,10,89,24,+91-7536623966,ludhiana_city_hospital_4@health.org,Ludhiana Sector-13,30.904273350002345,75.87155912083962
Ludhiana,LUD_HOSP_005,Ludhiana City Hospital 5,6.82,98,113,80,+91-7929074573,ludhiana_city_hospital_5@health.org,Ludhiana Sector-14,30.912380773114844,75.86054865998591
Ludhiana,LUD_HOSP_006,Ludhiana City Hospital 6,4.69,87,197,147,+91-8689065437,ludhiana_city_hospital_6@health.org,Ludhiana Sector-52,30.891712160088527,75.85221863821394
Ludhiana,LUD_HOSP_007,Ludhiana City Hospital 7,9.12,11,152,139,+91-8769787007,ludhiana_city_hospital_7@health.org,Ludhiana Sector-24,30.918950088890373,75.87692316056012
Ludhiana,LUD_HOSP_008,Ludhiana City Hospital 8,7.3,19,254,14,+91-8722832992,ludhiana_city_hospital_8@health.org,Ludhiana Sector-25,30.89798645169015,75.87251644225466
Ludhiana,LUD_HOSP_009,Ludhiana City Hospital 9,22.7,78,166,46,+91-7358330012,ludhiana_city_hospital_9@health.org,Ludhiana Sector-59,30.909175641385286,75.85425684431513
Ludhiana,LUD_HOSP_010,Ludhiana City Hospital 10,3.34,89,144,35,+91-7146199269,ludhiana_city_hospital_10@health.org,Ludhiana Sector-39,30.888761866243208,75.86270003362289
Amritsar,AMR_HOSP_001,Amritsar City Hospital 1,14.47,39,171,146,+91-9218708081,amritsar_city_hospital_1@health.org,Amritsar Sector-21,31.642268276681175,74.88457517894973
Amritsar,AMR_HOSP_002,Amritsar City Hospital 2,14.24,99,144,88,+91-9134972920,amritsar_city_hospital_2@health.org,Amritsar Sector-44,31.65046053484346,74.8890362065715
Amritsar,AMR_HOSP_003,Amritsar City Hospital 3,22.54,60,119,68,+91-7992793782,amritsar_city_hospital_3@health.org,Amritsar Sector-5,31.64433833396669,74.86881785685831
Amritsar,AMR_HOSP_004,Amritsar City Hospital 4,15.88,94,265,127,+91-7530675445,amritsar_city_hospital_4@health.org,Amritsar Sector-8,31.651673980808553,74.85397193165059
Amritsar,AMR_HOSP_005,Amritsar City Hospital 5,20.56,56,47,17,+91-7540850578,amritsar_city_hospital_5@health.org,Amritsar Sector-3,31.64725690660681,74.85814743427319
Amritsar,AMR_HOSP_006,Amritsar City Hospital 6,23.6,40,128,51,+91-7087350325,amritsar_city_hospital_6@health.org,Amritsar Sector-57,31.645302399153206,74.87373738553663
Amritsar,AMR_HOSP_007,Amritsar City Hospital 7,3.26,57,41,35,+91-8483265701,amritsar_city_hospital_7@health.org,Amritsar Sector-28,31.634972321938417,74.87776986725939
