City,Shelter_ID,Shelter_Name,Distance_km,Contact_Number,Email,Location
Chandigarh,CHA_SHEL_001,Chandigarh Relief Shelter 1,8.39,+91-8859430437,chandigarh_relief_shelter_1@relief.org,Chandigarh Sector-42
Chandigarh,CHA_SHEL_002,Chandigarh Relief Shelter 2,24.0,+91-8496436667,chandigarh_relief_shelter_2@relief.org,Chandigarh Sector-27
Chandigarh,CHA_SHEL_003,Chandigarh Relief Shelter 3,15.75,+91-8061994527,chandigarh_relief_shelter_3@relief.org,Chandigarh Sector-7
Chandigarh,CHA_SHEL_004,Chandigarh Relief Shelter 4,23.45,+91-8625091464,chandigarh_relief_shelter_4@relief.org,Chandigarh Sector-3
Chandigarh,CHA_SHEL_005,Chandigarh Relief Shelter 5,1.02,+91-9633657008,chandigarh_relief_shelter_5@relief.org,Chandigarh Sector-49
Chandigarh,CHA_SHEL_006,Chandigarh Relief Shelter 6,12.43,+91-9481567892,chandigarh_relief_shelter_6@relief.org,Chandigarh Sector-25
Chandigarh,CHA_SHEL_007,Chandigarh Relief Shelter 7,17.67,+91-7174821926,chandigarh_relief_shelter_7@relief.org,Chandigarh Sector-22
Chandigarh,CHA_SHEL_008,Chandigarh Relief Shelter 8,14.57,+91-7749867945,chandigarh_relief_shelter_8@relief.org,Chandigarh Sector-48
Chandigarh,CHA_SHEL_009,Chandigarh Relief Shelter 9,15.41,+91-8749878656,chandigarh_relief_shelter_9@relief.org,Chandigarh Sector-14
Chandigarh,CHA_SHEL_010,Chandigarh Relief Shelter 10,21.64,+91-9945946638,chandigarh_relief_shelter_10@relief.org,Chandigarh Sector-39
Ludhiana,LUD_SHEL_001,Ludhiana Relief Shelter 1,18.36,+91-7423337690,ludhiana_relief_shelter_1@relief.org,Ludhiana Sector-9
Ludhiana,LUD_SHEL_002,Ludhiana Relief Shelter 2,12.35,+91-7454813114,ludhiana_relief_shelter_2@relief.org,Ludhiana Sector-21
Ludhiana,LUD_SHEL_003,Ludhiana Relief Shelter 3,11.51,+91-9072794370,ludhiana_relief_shelter_3@relief.org,Ludhiana Sector-50
Ludhiana,LUD_SHEL_004,Ludhiana Relief Shelter 4,22.07,+91-9076748868,ludhiana_relief_shelter_4@relief.org,Ludhiana Sector-27
Ludhiana,LUD_SHEL_005,Ludhiana Relief Shelter 5,19.34,+91-7073274154,ludhiana_relief_shelter_5@relief.org,Ludhiana Sector-16
Ludhiana,LUD_SHEL_006,Ludhiana Relief Shelter 6,14.43,+91-9895030471,ludhiana_relief_shelter_6@relief.org,Ludhiana Sector-8
Ludhiana,LUD_SHEL_007,Ludhiana Relief Shelter 7,10.26,+91-8819051879,ludhiana_relief_shelter_7@relief.org,Ludhiana Sector-14
Ludhiana,LUD_SHEL_008,Ludhiana Relief Shelter 8,22.64,+91-9905135123,ludhiana_relief_shelter_8@relief.org,Ludhiana Sector-23
Ludhiana,LUD_SHEL_009,Ludhiana Relief Shelter 9,11.77,+91-9712127852,ludhiana_relief_shelter_9@relief.org,Ludhiana Sector-14
Ludhiana,LUD_SHEL_010,Ludhiana Relief Shelter 10,22.02,+91-9018332354,ludhiana_relief_shelter_10@relief.org,Ludhiana Sector-33
Amritsar,AMR_SHEL_001,Amritsar Relief Shelter 1,8.65,+91-9140054783,amritsar_relief_shelter_1@relief.org,Amritsar Sector-28
Amritsar,AMR_SHEL_002,Amritsar Relief Shelter 2,8.29,+91-9536047761,amritsar_relief_shelter_2@relief.org,Amritsar Sector-40
Amritsar,AMR_SHEL_003,Amritsar Relief Shelter 3,17.58,+91-7855735909,amritsar_relief_shelter_3@relief.org,Amritsar Sector-17
Amritsar,AMR_SHEL_004,Amritsar Relief Shelter 4,23.17,+91-8620221605,amritsar_relief_shelter_4@relief.org,Amritsar Sector-7
Amritsar,AMR_SHEL_005,Amritsar Relief Shelter 5,6.55,+91-9241165608,amritsar_relief_shelter_5@relief.org,Amritsar Sector-36
Amritsar,AMR_SHEL_006,Amritsar Relief Shelter 6,23.52,+91-8949965207,amritsar_relief_shelter_6@relief.org,Amritsar Sector-8
Amritsar,AMR_SHEL_007,Amritsar Relief Shelter 7,7.67,+91-8190822440,amritsar_relief_shelter_7@relief.org,Amritsar Sector-37
Amritsar,AMR_SHEL_008,Amritsar Relief Shelter 8,2.57,+91-7944551073,amritsar_relief_shelter_8@relief.org,Amritsar Sector-35
Amritsar,AMR_SHEL_009,Amritsar Relief Shelter 9,4.4,+91-7647438597,amritsar_relief_shelter_9@relief.org,Amritsar Sector-13
Amritsar,AMR_SHEL_010,Amritsar Relief Shelter 10,10.36,+91-8564010128,amritsar_relief_shelter_10@relief.org,Amritsar Sector-29
Patiala,PAT_SHEL_001,Patiala Relief Shelter 1,19.36,+91-8913829017,patiala_relief_shelter_1@relief.org,Patiala Sector-50
Patiala,PAT_SHEL_002,Patiala Relief Shelter 2,1.77,+91-7095745387,patiala_relief_shelter_2@relief.org,Patiala Sector-22
Patiala,PAT_SHEL_003,Patiala Relief Shelter 3,7.37,+91-8775366441,patiala_relief_shelter_3@relief.org,Patiala Sector-50
Patiala,PAT_SHEL_004,Patiala Relief Shelter 4,9.82,+91-9756909848,patiala_relief_shelter_4@relief.org,Patiala Sector-11
Patiala,PAT_SHEL_005,Patiala Relief Shelter 5,12.1,+91-8070615910,patiala_relief_shelter_5@relief.org,Patiala Sector-6
Patiala,PAT_SHEL_006,Patiala Relief Shelter 6,2.51,+91-7178700515,patiala_relief_shelter_6@relief.org,Patiala Sector-42
Patiala,PAT_SHEL_007,Patiala Relief Shelter 7,2.57,+91-9162634405,patiala_relief_shelter_7@relief.org,Patiala Sector-9
